created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 08 04:41:45 +0000 2023;1732983783455170720;"Kek ngapain wen wen biarlah warga sana dikasih makan halu aja dengan subunit kesayangan. Tapi di satu sisi seneng juga dia ada jadwal di luar negeri as a soloist. Tahun depan abis comeback ke We the fest sini ya wen kaya lee hi";0;0;0;0;in;1323066021842878464;1732983783455170720;blueismycolor11;https://twitter.com/blueismycolor11/status/1732983783455170720
Thu Dec 07 14:13:11 +0000 2023;1732765200745382210;"matty should have dated gabbriette earlier so she could knock some sense into his head  told him not to cause any problems on their malay show so they could perform in wethefest";0;0;0;1;en;1469545929636155392;1732765200745382210;noacflyn;https://twitter.com/noacflyn/status/1732765200745382210
Thu Dec 07 11:06:36 +0000 2023;1732718245042614521;"Midnight play : Diskoria on We The Fest  Beuuh enak pisan, infokan lantai dansa om 😩 https://t.co/GHJoGiElnc";0;0;0;0;in;1461378170;1732718245042614521;goodisssue;https://twitter.com/goodisssue/status/1732718245042614521
Thu Dec 07 10:54:35 +0000 2023;1732715220496470387;"+ we the fest, coldplay, taylor, bts&amp got7 yg dulu";0;1;0;0;en;1182310663764377601;1732714974177554456;jcnozen;https://twitter.com/jcnozen/status/1732715220496470387
Thu Dec 07 09:21:44 +0000 2023;1732691852850262164;"@pikokrawkest Ohiye kalo di we the fest ada sarahdeshita di rawamangun ada bu enggah! Wih kapan tuh bang kok nanti gue ajak ini kali yak Salah satu musisi rawamangun kita yang msh aktif @akbar_hilwani :))";0;1;0;0;in;984082580667416577;1732685023122530448;ihvdthwish_;https://twitter.com/ihvdthwish_/status/1732691852850262164
Wed Dec 06 17:38:53 +0000 2023;1732454578250203405;"pulang ke jkt dari tamel bawa koper soalnya bingung mau pake apa buat we the fest";0;0;0;1;in;1155432530515877889;1732454578250203405;hydrococko;https://twitter.com/hydrococko/status/1732454578250203405
Wed Dec 06 11:07:43 +0000 2023;1732356139248243129;"pas war early entry tiket we the fest wtf dpt antrian 200 https://t.co/kzlOnZEJjN";0;1;0;0;en;206941973;1732344318273429613;iratheresia_;https://twitter.com/iratheresia_/status/1732356139248243129
Wed Dec 06 10:56:28 +0000 2023;1732353307614883887;"2024 we the fest line up nya siapa yahhhhhhh, the cure the cure atuhh euyyyyyy";0;0;0;0;in;536049355;1732353307614883887;ryandioandika;https://twitter.com/ryandioandika/status/1732353307614883887
Tue Dec 05 14:43:33 +0000 2023;1732048064641413371;"B.I HIDDEN TOUR JAKARTA BP BORNPINK TOUR JAKARTA LEE HI WETHEFEST DAY 1  TAEYEON ODE TOUR JAKARTA iKON TAKEOFF TOUR JAKARTA  ALLLLLLL THE BESTTTTTTT CONCERTTTTTTT!!! DONT ASK ME TO CHOOSEEEEEEE !!! they all differennt";0;1;0;1;en;1333763368423866374;1732048064641413371;Koovelly;https://twitter.com/Koovelly/status/1732048064641413371
Tue Dec 05 14:39:04 +0000 2023;1732046938173055202;"@secretlifeofhr we the fest kan mksdnya";0;0;0;0;in;1450504840753209347;1732046274244047167;lustycrav;https://twitter.com/lustycrav/status/1732046938173055202
Tue Dec 05 14:02:09 +0000 2023;1732037647256969441;"@w2e___ anjing bener bgt gue ke daniel caesar😐😐😐😐😐 we the fest mulu kapn solo";0;0;0;0;in;1664872774559748096;1732007656380928040;wareeruu;https://twitter.com/wareeruu/status/1732037647256969441
Tue Dec 05 13:10:51 +0000 2023;1732024736845324445;"We The Fest 2019 - 2 Day Pass, under 1,5jt. Dean depan mata. Bestttttt soalnya setelah ini dia ngilang 😜 https://t.co/ENEEIZwzul";1;0;0;0;in;1513891499439763459;1732023121576861776;artemiscatto;https://twitter.com/artemiscatto/status/1732024736845324445
Tue Dec 05 02:01:13 +0000 2023;1731856218497663343;"@jek___ @sulthonmys @ErlingHaaland @fifa @UEFAcom wtf itu We The Fest tads..";0;0;0;0;en;98823722;1731387201622004197;AnashChan;https://twitter.com/AnashChan/status/1731856218497663343
Tue Dec 05 00:33:06 +0000 2023;1731834041283072113;"@ErlingHaaland We The Fest";0;0;0;0;en;1697198949348847616;1731657504927477788;IniHiruma;https://twitter.com/IniHiruma/status/1731834041283072113
Mon Dec 04 16:03:22 +0000 2023;1731705764463673649;"Padahal kan maksudnya we the fest";0;4;3;72;in;137349848;1731705764463673649;panjiraden;https://twitter.com/panjiraden/status/1731705764463673649
Mon Dec 04 15:15:30 +0000 2023;1731693716975296621;"mungkin wtf yang dimaksud bang paland ini we the fest";0;0;0;0;in;249505481;1731693716975296621;dwirahayuks;https://twitter.com/dwirahayuks/status/1731693716975296621
